service,variable,states
Analysis,cumm_net_delay,"['38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50']"
Analysis,delta,"['28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40']"
Analysis,gpu,"['30', '40', '65']"
Analysis,consumption,['6']
Analysis,cpu,"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40']"
Weather,cumm_net_delay,"['22', '23', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50']"
Weather,delta,"['14', '15', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42']"
Weather,fig_size,"['1', '10', '20', '50', '80']"
Weather,consumption,['19']
Weather,cpu,"['5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']"
Anomaly,cumm_net_delay,"['38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50']"
Anomaly,delta,"['30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42']"
Anomaly,consumption,['18']
Anomaly,cpu,['3']
CloudDB,cumm_net_delay,"['30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43']"
CloudDB,delta,"['19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']"
CloudDB,batch_size,"['50', '100', '500', '1000', '10000']"
CloudDB,limit,"['100', '500', '1000']"
CloudDB,threads,"['1', '5', '10', '20']"
CloudDB,consumption,['69']
CloudDB,cpu,['0']
Analysis,fps,"['20', '25', '15']"
Analysis,pixel,"['720', '480']"
Weather,data_size,"['5', '10', '20', '30']"
Weather,isentropic,"['1', '10', '100', '50', '200']"
Anomaly,batch_size,['10']
CloudDB,cached,['True']
