service,host,slo,modus,t
Processor,Xavier,0.9999304910753518,estimated,0
Consumer_A,Orin,1.0,estimated,0
Processor,Xavier,1.0,experienced,0
Consumer_A,Orin,1.0,experienced,0
Processor,PC,1.0,estimated,1
Consumer_B,PC,1.0,estimated,1
Processor,PC,0.9837314544308873,experienced,1
Consumer_B,PC,0.9978232227759638,experienced,1
Processor,Orin,0.7001629777733835,estimated,2
Consumer_C,Xavier,0.8247422680412371,estimated,2
Processor,Orin,0.7616838487972508,experienced,2
Consumer_C,Xavier,0.7616838487972508,experienced,2
Processor,Orin,0.3123845013727116,estimated,3
Consumer_A,Laptop,1.0,estimated,3
Consumer_B,Laptop,1.0,estimated,3
Consumer_C,Xavier,0.3678129236712368,estimated,3
Processor,Orin,0.2954922962368979,experienced,3
Consumer_A,Laptop,1.0,experienced,3
Consumer_B,Laptop,0.9999427229509136,experienced,3
Consumer_C,Xavier,0.2954922962368979,experienced,3
Processor,Orin,0.3293028006727548,estimated,4
Consumer_A,Xavier,1.0,estimated,4
Consumer_B,Xavier,1.0,estimated,4
Consumer_C,Orin,0.3951890034364261,estimated,4
Processor,Orin,0.2954922962368979,experienced,4
Consumer_A,Xavier,1.0,experienced,4
Consumer_B,Xavier,1.0,experienced,4
Consumer_C,Orin,0.2954922962368979,experienced,4
Processor,Xavier,0.0,estimated,5
Consumer_A,Xavier,1.0,estimated,5
Consumer_B,Nano,1.0,estimated,5
Processor,Xavier,0.0344807835500315,experienced,5
Consumer_A,Xavier,1.0,experienced,5
Consumer_B,Nano,0.9952460049258263,experienced,5
Processor,PC,1.0,estimated,6
Consumer_A,PC,1.0,estimated,6
Consumer_B,PC,1.0,estimated,6
Processor,PC,0.971197429571404,experienced,6
Consumer_A,PC,1.0,experienced,6
Consumer_B,PC,0.9966722129783694,experienced,6
Processor,Orin,0.9567379581765642,estimated,7
Consumer_A,Laptop,1.0,estimated,7
Consumer_B,Laptop,1.0,estimated,7
Processor,Orin,0.9999427229509136,experienced,7
Consumer_A,Laptop,1.0,experienced,7
Consumer_B,Laptop,0.9999427229509136,experienced,7
